# Timestamps started: 2026-07-23 19:58:39
floatplane_link: https://www.floatplane.com/post/NwKHNVlYjR?a=4uyHoUGdzP

00:03:48 - DJ Cummerbund, Earth, Sand & Fire
00:10:34 - Esther Abrami, No.9 Frank's Waltz
00:12:34 - Esther Abrami, No.9 Frank's Waltz
00:13:15 - Martin Landstrom, Lemon Squeezy
00:15:20 - Martin Landstrom, Lemon Squeezy
00:18:06 - Hara Noda, Birdhouse
00:18:16 - Elvin Vanguard, Call and Respond
00:21:01 - Elvin Vanguard, Call and Respond
00:24:31 - Salvador Peralta, Apple Bottom Jeans
00:28:55 - Ween, Ocean Man
00:32:28 - Esther Abrami, No.9 Frank's Waltz
00:32:56 - Roy Williams, Walk the Floor and Think of You
00:36:33 - Esther Abrami, No.9 Frank's Waltz
00:37:00 - Roy Williams, Walk the Floor and Think of You
00:40:29 - Roy Williams, Walk the Floor and Think of You
00:41:43 - Martin Landström, Tablespoons
00:43:51 - Esther Abrami, No.9 Frank's Waltz
00:44:19 - Rapid Liquid, Havana
00:46:03 - Esther Abrami, No.9 Frank's Waltz
00:47:00 - El Equipo Del Norte, Bossa Cara
00:49:15 - Esther Abrami, No.9 Frank's Waltz
00:49:37 - El Equipo Del Norte, Bossa Cara
00:54:15 - Gabe the dog, bork till you're dead
00:55:52 - Kazoo Kid, Trap Remix FUN FUN FUN



