# Timestamps started: 2026-08-05 09:00:00
floatplane_link: https://www.floatplane.com/post/9Ky2MdqEvS

00:01:58 - F R A N K - M O V E S -
00:02:34 - Esther Abrami, No.9 Frank's Waltz
00:05:38 - Esther Abrami, No.9 Frank's Waltz
00:07:09 - F R A N K - M O V E S -
00:08:45 - Esther Abrami, No.9 Frank's Waltz
00:14:58 - Neil Cicierega, Daft Mouth
00:20:09 - William Maranci Mashups, The Black Eyed Peas - My Humps (feat. Mozart)
00:24:39 - Yuzoboy, Gangsta's Paradise (Sega Genesis Remix)
00:30:40 - Lukas Got Lucky, Watch Me Take That Crown
00:36:10 - Arnold Palmer Tournament Golf, BGM 4
00:41:48 - James Shimoji, Pepsi Man Theme Song
00:46:00 - Esther Abrami, No.9 Frank's Waltz
00:49:16 - Schmoyoho, It's 🌽
00:54:47 - Blissful Mind, Careless Whisper (TikTok Remix)
01:04:34 - SilvaGunner, Main Theme - Wii Shop Channel
01:10:44 - Nick Fraser, Why You Always Lying
01:18:12 - Tim and Eric, Live with my dad
01:20:18 - Aunty Donna, Hotdogs for Breakfast

